date, timestamp, heart_rate, AVNN, SDNN, rMSSD, pNN50, LF, HF, LFHF, alpha1, artifacts_removed, steps, latitude, longitude
2021-04-14 17:38:32 +0000, 00:01:00, 130.279246, 460.549180, 10.068279, 2.204163, 0.000000, 0.001569, 0.003454, 0.454264,1.271860, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:39:32 +0000, 00:02:00, 133.085429, 450.838235, 8.634332, 1.844718, 0.000000, 0.004713, 0.004672, 1.008776,1.195241, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:40:32 +0000, 00:03:00, 130.298643, 460.480620, 6.786734, 2.125955, 0.000000, 0.003884, 0.003880, 1.001022,1.258083, 2.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:41:32 +0000, 00:04:00, 132.991481, 451.156716, 5.717553, 1.792239, 0.000000, 0.000000, 0.000010, 0.000000,1.347134, 1.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:42:32 +0000, 00:05:00, 135.849789, 441.664286, 4.382237, 1.646252, 0.000000, 0.002202, 0.002435, 0.904306,1.127142, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:43:32 +0000, 00:06:00, 136.948869, 438.119718, 5.587543, 1.853568, 0.000000, 0.000000, 0.000010, 0.000000,0.762478, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:44:32 +0000, 00:07:00, 139.150178, 431.188811, 4.828203, 2.078256, 0.000000, 0.000980, 0.002305, 0.425144,0.700442, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:45:32 +0000, 00:08:00, 139.185763, 431.078571, 2.389806, 1.721560, 0.000000, 0.001588, 0.002321, 0.684397,0.771583, 1.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:46:32 +0000, 00:09:00, 140.849663, 425.986111, 4.676681, 2.015783, 0.000000, 0.001692, 0.002767, 0.611679,0.776626, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:47:32 +0000, 00:10:00, 141.327832, 424.544828, 2.239670, 1.860521, 0.000000, 0.000588, 0.002596, 0.226651,0.805108, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:48:32 +0000, 00:11:00, 143.680970, 417.591837, 5.281414, 1.938716, 0.000000, 0.001061, 0.002733, 0.388139,0.957547, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:49:32 +0000, 00:12:00, 146.934804, 408.344371, 3.580130, 1.954173, 0.000000, 0.000000, 0.000010, 0.000000,0.767570, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:50:32 +0000, 00:13:00, 148.519689, 403.986842, 5.059144, 2.099206, 0.000000, 0.000000, 0.000010, 0.000000,0.604244, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:51:32 +0000, 00:14:00, 150.275668, 399.266234, 5.666049, 2.164304, 0.000000, 0.001057, 0.002150, 0.491726,0.842737, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:52:32 +0000, 00:15:00, 150.945895, 397.493421, 4.179367, 2.024846, 0.000000, 0.000000, 0.000010, 0.000000,0.624554, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:53:32 +0000, 00:16:00, 151.417109, 396.256410, 5.095569, 2.374103, 0.000000, 0.002770, 0.002582, 1.072741,0.847883, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:54:32 +0000, 00:17:00, 153.793407, 390.133758, 3.163050, 2.377312, 0.000000, 0.000542, 0.001618, 0.334972,0.356386, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:55:32 +0000, 00:18:00, 155.273438, 386.415094, 2.937949, 2.326803, 0.000000, 0.000000, 0.000010, 0.000000,0.539712, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:56:32 +0000, 00:19:00, 156.897140, 382.416149, 3.107826, 2.017221, 0.000000, 0.000411, 0.001098, 0.374474,0.391602, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:57:32 +0000, 00:20:00, 156.347417, 383.760736, 1.964340, 2.285520, 0.000000, 0.001096, 0.001576, 0.695268,0.441714, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:58:32 +0000, 00:21:00, 155.796102, 385.118750, 3.079642, 2.104847, 0.000000, 0.000000, 0.000010, 0.000000,0.563101, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 17:59:32 +0000, 00:22:00, 155.927689, 384.793750, 3.293406, 2.520800, 0.000000, 0.000765, 0.001556, 0.491910,0.584151, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:00:32 +0000, 00:23:00, 154.256704, 388.962025, 4.293041, 2.517885, 0.000000, 0.001755, 0.001821, 0.963299,0.558962, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:01:32 +0000, 00:24:00, 152.741514, 392.820513, 2.417134, 2.460071, 0.000000, 0.000662, 0.001438, 0.460227,0.523628, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:02:32 +0000, 00:25:00, 151.444058, 396.185897, 5.129736, 2.450815, 0.000000, 0.000581, 0.001210, 0.480064,0.580288, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:03:32 +0000, 00:26:00, 150.129250, 399.655629, 1.842774, 2.224030, 0.000000, 0.000667, 0.001735, 0.384600,0.587111, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:04:32 +0000, 00:27:00, 149.580503, 401.121795, 4.249907, 2.217112, 0.000000, 0.001208, 0.001960, 0.616331,0.597088, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:05:32 +0000, 00:28:00, 148.449581, 404.177632, 2.797461, 2.107131, 0.000000, 0.000000, 0.000010, 0.000000,0.707523, 0.000000, 0.000000, 0.000000, 0.000000
2021-04-14 18:06:32 +0000, 00:29:00, 147.425042, 406.986486, 3.599177, 2.480057, 0.000000, 0.000735, 0.001492, 0.492682,0.542892, 0.000000, 0.000000, 0.000000, 0.000000
